"Data Import Template"
"Table:","Roll Production Entry"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Roll Production Entry","","","","","","","~","Roll Production Entry Item","items","","","","","","","","","","","","","","",""
"Column Labels:","ID","Created On","Created By","Shaft Production Run","Production Plan","Status","Manufacturing Entries","","ID","Roll No","Meter/Roll","Net Weight","Created On","Created By","Job No","Shaft Combination","Planned Qty (KG)","Order Code","Work Order","Item Code","Item Name","GSM","Width (Inches)","Batch No","Gross Weight"
"","""ftk88bqisa""","2026-02-05 16:59:17.654816","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""ftk88bqisa-1""","2026-02-05 17:07:43.341500","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00005""","2026-02-20 13:17:27.903583","Administrator","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00006""","2026-02-10 10:43:43.066045","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00008""","2026-02-23 15:30:11.382222","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00016""","2026-02-18 16:39:42.293674","Administrator","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00050""","2026-02-07 17:27:03.533912","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00051""","2026-02-08 21:56:59.559791","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00051-1""","2026-02-08 22:15:29.193540","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00054""","2026-02-09 14:42:21.855242","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00055""","2026-02-09 14:53:59.912619","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00055-.##""","2026-02-09 15:09:19.400578","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00057""","2026-02-09 15:48:21.256974","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00058""","2026-02-09 15:53:28.374189","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00066""","2026-02-10 10:56:25.486555","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00067""","2026-02-10 10:58:08.557525","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00068""","2026-02-10 10:59:12.480502","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00069""","2026-02-10 11:00:24.088554","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00070""","2026-02-10 11:04:59.909200","dharshan.ss@jayashreespunbond.in","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00074""","2026-02-10 20:58:09.778987","dharshan.ss@jayashreespunbond.in","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00075""","2026-02-12 17:59:54.637629","gowthamjsb@gmail.com","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00078""","2026-02-14 00:47:59.076134","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00079""","2026-02-16 11:16:21.316062","gowthamjsb@gmail.com","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00084""","2026-02-17 18:14:28.570311","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00085""","2026-02-18 18:07:22.185014","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00086""","2026-02-19 10:45:08.707878","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00087""","2026-02-19 11:18:14.470948","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00088""","2026-02-19 16:48:20.296679","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00089""","2026-02-20 13:35:54.409749","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00090""","2026-02-20 13:40:31.575149","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00091""","2026-02-21 12:25:50.881600","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00092""","2026-02-23 13:19:19.357727","Administrator","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00093""","2026-02-26 13:08:32.597027","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00094""","2026-02-26 15:49:43.097224","devadharshana.erp@gmail.com","","","Draft","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00099""","2026-02-26 16:36:50.027814","devadharshana.erp@gmail.com","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00100""","2026-02-27 10:32:31.095686","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00101""","2026-02-27 10:26:33.303485","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00102""","2026-02-27 11:35:30.682576","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00103""","2026-02-27 11:48:24.460618","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00104""","2026-02-28 21:20:31.266500","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00109""","2026-03-02 13:28:52.876274","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00110""","2026-03-02 13:38:08.470475","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00112""","2026-03-02 13:51:26.245307","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00113""","2026-03-02 15:48:02.294743","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00114""","2026-03-02 15:52:26.820490","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00115""","2026-03-02 15:50:14.900156","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00116""","2026-03-02 18:58:18.661027","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00117""","2026-03-02 19:29:20.260966","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00118""","2026-03-03 13:04:33.017347","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00119""","2026-03-03 16:54:20.936072","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00120""","2026-03-03 20:01:40.780751","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00121""","2026-03-04 15:39:53.126391","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00122""","2026-03-04 15:48:19.351084","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00128""","2026-03-05 10:56:00.386701","Administrator","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00129""","2026-03-05 11:30:12.001343","devadharshana.erp@gmail.com","","","Completed","","","","","","","","","","","","","","","","","","",""
"","""MFG-WO-2026-00130""","2026-03-05 11:38:13.750126","devadharshana.erp@gmail.com","","","Draft","","","","","","","","","","","","","","","","","","",""
